Utterance,Intent,Category 1,Category 2,Category 3
最后要输入要输入保安编码器上的交易保安编码，我输入成了登录保安编码,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
基于保安原因，保安编码器的「交易加密签署」功能已被暂停。您可以在五分钟后再次尝试递交您的指示。  意思是五分钟后保安编码器就恢复了？,连续输入错误的保安编码导致服务被暂停使用，我应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
另外，我刚试了下注册，第二步要求我输入账户资料和个人资料，我都输入了，个人资料里是填我大陆护照号对吗？点继续后一直提示有问题，要我致电 ******** 这个，ref code是455,注册个人网上理财时，需要提供哪种身份证明文件,Personal Internet Banking (PIB),PIB Registration,PIB Registration_Others
要在转账的时候提示输入保安编码,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
我是仙正常登入 然后转账的时候 提示要输入编码器,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
登录网上理财， 1 输入提示答案，2 输入密码，但是看不见你刚才说的保安编码器的选择项,如何登录个人网上理财,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
"我的保安密码器刚输入多次,被锁",如何重置保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
除了第二密码外，还要输入提示答案？,如何在不使用保安编码器或流动保安编码的情况下，登录个人网上理财,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我尝试增加五次，都显示我的保安密码错误，其实我的保安密码都是正确的，我也知道怎么操作，因为我之前添加过个人为受益人,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
保安编码器解锁,如何重置保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
保安编码器第一次输入密码错误后不能回复正常,如何解决有关保安编码器密码的问题,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
我用旧的登录后， 出来“启动你的保安编码器”,在没收到保安编码器前，我可以登录个人网上理财吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PIB_Hard Token_Activation
网上理财被锁了,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
请核对以下资料并选择「确定」。如需更改，请选择「更改资料」。.输入的保安编码不正确，请重新输入。(VTS_0001)可在""我的投资"选择"外汇/人民币转存服务"或"外汇限价买卖及到价提示服务"。,连续输入错误的保安编码导致服务被暂停使用，我应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我现在是要用电脑进去看资料，用保安密码器进不去,如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
保安编码器是不是有有效期,如果我的保安编码器过了30天还未有激活，会过期吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Features
目前提示您已达到尝试输入保安编码的次数上限，保安编码已被锁定,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我在填受款人信息，保安密码一直说我不正确,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
您好！我想向大都会保险公司转保费******，但几次都提示保安密码不正确，请问哪个是保安密码呢？怎么获取？谢谢,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
输入您的提示答案,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
